AlarmId,HistoryAction,AlarmKey,Node,SubMethod,AlarmGroup,SubAlarmGroup,AlarmType,Reported,Severity
3890048279,UPDATE,"W72NQKOH3 bgpPeerEntry.10.11.254.165 CISCO BGP Peer Status 2 CISCO-BGP ver.4 Trapd 2 1 hold time expired",W72NQKOH3,"CISCO-BGP ver.4","CISCO BGP Peer Status",None,2,1428444000,4
3889880433,UPDATE,"Unknown Trap From 10.74.39.235 [1.3.6.1.4.1.9.10.106.2] Generic: 6 Specific: 2",KYF01.KOCE.BPA.NS,"No rules exist for this Unknown ",Unknown,None,3600,1428444000,1
3889880081,UPDATE,"Unknown Trap From 10.74.39.47 [1.3.6.1.4.1.9.10.106.2] Generic: 6 Specific: 2",AEA1.LE3.BPA.NS,"No rules exist for this Unknown ",Unknown,None,3600,1428444000,1
3916698739,UPDATE,"W72NQKOH3 bgpPeerEntry.10.11.254.165 CISCO BGP Peer Status 2 CISCO-BGP ver.4 Trapd 1 1 hold time expired",W72NQKOH3,"CISCO-BGP ver.4","CISCO BGP Peer Status",None,2,1428444000,0
3815428263,UPDATE,"IETF-BGP4-MIB-W72NQKOH3-IETF BGP Peer Status-None-BGP Peer Connection Idle  ( BGP Peer: W72NQKOH3 )",W72NQKOH3,IETF-BGP4-MIB,"IETF BGP Peer Status",None,2,1428444000,4
3890048739,UPDATE,"W72NKYXO4 bgpPeerEntry.10.62.224.90 CISCO BGP Peer Status 2 CISCO-BGP ver.4 Trapd 1 1 ",W72NKYXO4,"CISCO-BGP ver.4","CISCO BGP Peer Status",None,2,1428444000,4
3890048689,UPDATE,"W72NQKOH3 bgpPeerEntry.10.43.149.210 CISCO BGP Peer Status 2 CISCO-BGP ver.4 Trapd 2 1 hold time expired",W72NQKOH3,"CISCO-BGP ver.4","CISCO BGP Peer Status",None,2,1428444000,4
3917675503,UPDATE,"SP55MPEV01: hwNmNorthboundEventNotify alarm. Event: ID:72,DeviceType:1977,AU alarm indication - Slot: 7 Port: 1 TTP_TYPE=44 7-SL16S-1(SP55BSUB01 S8)-VC4:15",SP55MPEV01,hwNmNorthboundEventTrap,Communication,"Slot=7 Port=1 TTP_TYPE=44 7-SL16S-1(SP55BSUB01 S8)-VC4:15",2,1428444000,4
3097336039,UPDATE,Service_EXJI,EXJI,EXJI,"Event SLM",21429,0,1428444000,5
3917675505,UPDATE,"SP55MPEV01: hwNmNorthboundEventNotify alarm. Event: ID:72,DeviceType:1977,AU alarm indication - Slot: 7 Port: 1 TTP_TYPE=44 7-SL16S-1(SP55BSUB01 S8)-VC4:14",SP55MPEV01,hwNmNorthboundEventTrap,Communication,"Slot=7 Port=1 TTP_TYPE=44 7-SL16S-1(SP55BSUB01 S8)-VC4:14",2,1428444000,4
3800611581,UPDATE,"IETF-BGP4-MIB-W72NKYXO4-IETF BGP Peer Status-None-BGP Peer Connection Idle  ( BGP Peer: W72NKYXO4 )",W72NKYXO4,IETF-BGP4-MIB,"IETF BGP Peer Status",None,2,1428444000,4
3917781285,UPDATE,"W72NQKOH3 bgpPeerEntry.10.43.149.210 CISCO BGP Peer Status 2 CISCO-BGP ver.4 Trapd 1 1 hold time expired",W72NQKOH3,"CISCO-BGP ver.4","CISCO BGP Peer Status",None,2,1428444001,0
